Frame #,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y
0,169.0363597869873,547.9598522186279,166.5016222000122,546.6592597961426
1,182.19573497772217,543.302206993103,166.6294527053833,547.726628780365
2,186.32310390472412,541.6258692741394,166.79742336273193,548.6973738670349
3,188.4047555923462,540.175416469574,167.356595993042,548.6489653587341
4,188.23491096496582,540.1232743263245,167.56010055541992,548.6308121681213
5,189.59970474243164,540.2889060974121,167.5523328781128,548.3868384361267
6,189.95357036590576,540.3738784790039,167.84209728240967,548.3755087852478
7,188.89803886413574,540.533652305603,167.95114517211914,548.4985256195068
8,188.59013557434082,540.5949997901917,168.50237846374512,548.4983968734741
9,188.11105728149414,540.7712531089783,169.20639038085938,548.6367988586426
10,187.90507793426514,541.3081240653992,169.95364665985107,548.7594294548035
11,187.87565231323242,541.3493871688843,171.00611686706543,549.1000270843506
12,188.02780151367188,541.419038772583,171.24688625335693,549.187445640564
13,190.81227779388428,541.2640285491943,171.2724781036377,549.021942615509
14,191.6064691543579,541.0716819763184,171.57244205474854,548.7309765815735
15,191.62023067474365,540.8373641967773,171.61188125610352,548.5316133499146
16,191.33874893188477,540.7404828071594,171.56171321868896,548.5112071037292
17,191.11976623535156,540.669093132019,171.54078483581543,548.4826254844666
18,190.98567008972168,540.6737279891968,171.57227039337158,548.4462547302246
19,190.94658851623535,540.4959297180176,171.5674924850464,548.3453178405762
20,190.88951110839844,540.3475499153137,171.55810832977295,548.3191823959351
21,191.08640670776367,540.1929903030396,171.47802829742432,548.1546449661255
22,191.49056911468506,540.1780557632446,171.39412879943848,547.8628420829773
23,191.55768871307373,540.1576495170593,171.2297773361206,547.8318786621094
24,191.59862995147705,540.1617050170898,171.11768245697021,547.8356766700745
25,191.61870002746582,540.1650524139404,171.0247278213501,547.8374147415161
26,191.6026496887207,540.1904153823853,171.02002143859863,547.837929725647
27,191.65154457092285,540.1875829696655,171.0135841369629,547.8387665748596
28,191.7458438873291,540.1773476600647,170.9725284576416,547.8120517730713
29,191.8050241470337,540.1953077316284,170.96566200256348,547.8017520904541
30,191.84277534484863,540.1972389221191,170.95088481903076,547.7070593833923
31,191.84698104858398,540.2580070495605,170.9205722808838,547.6979827880859
32,191.84100151062012,540.3483867645264,170.7667350769043,547.6739716529846
33,191.84550762176514,540.3494811058044,170.65511226654053,547.6677918434143
34,191.94531440734863,540.3501892089844,170.53936958312988,547.6603245735168
35,191.95524215698242,540.1870679855347,170.26475429534912,547.658908367157
36,192.02722549438477,540.1382732391357,170.00820636749268,547.6432013511658
37,192.07553386688232,540.0759601593018,169.87584114074707,547.607216835022
38,192.09387302398682,539.9685215950012,169.76516246795654,547.5767683982849
39,192.10980892181396,539.7630107402802,169.6900463104248,547.5339603424072
40,192.11886405944824,539.5292401313782,169.60571765899658,547.4834275245667
41,192.17848777770996,539.3967926502228,169.59617614746094,547.4622488021851
42,192.2348928451538,539.3694341182709,169.54710960388184,547.3785638809204
43,192.30026721954346,539.3338680267334,169.52744007110596,547.32661485672
44,192.3015832901001,539.337569475174,169.49333667755127,547.2784638404846
45,192.3043727874756,539.3425905704498,169.4769287109375,547.1919465065002
46,192.3242425918579,539.3157470226288,169.46710109710693,547.0709252357483
47,192.32553005218506,539.2632508277893,169.4601345062256,546.9942569732666
48,192.32676029205322,539.1945326328278,169.45754528045654,546.9258284568787
49,192.3246717453003,539.0917932987213,169.4554567337036,546.8525075912476
50,192.25998401641846,539.0463137626648,169.4829797744751,546.826822757721
51,191.97365283966064,539.0053081512451,169.49624061584473,546.8377017974854
52,191.86404705047607,538.960440158844,169.50686931610107,546.8405985832214
53,191.85071468353271,538.893073797226,169.51409339904785,546.841242313385
54,191.80131912231445,538.8286685943604,169.539213180542,546.8512201309204
55,191.8026065826416,538.7341368198395,169.545636177063,546.8461346626282
56,191.7921781539917,538.7069070339203,169.54529285430908,546.8414354324341
57,191.71500205993652,538.6053586006165,169.55444812774658,546.8241834640503
58,191.61336421966553,538.5994362831116,169.5547914505005,546.7819547653198
59,191.54271125793457,538.5822808742523,169.55519199371338,546.7694664001465
60,191.54447078704834,538.6010134220123,169.5732879638672,546.767406463623
61,191.6006326675415,538.6370301246643,169.60340023040771,546.7491888999939
62,191.63273334503174,538.6461067199707,169.63072299957275,546.7348980903625
63,191.6350793838501,538.6466538906097,169.6340274810791,546.7347693443298
